scope,algorithm,vus,metric,value,unit
isolated,Falcon-Precomputed-512,,access_token_generation_avg,0.2903099999999999,ms
isolated,Falcon-Precomputed-512,,access_token_generation_p95,0.3722,ms
isolated,Falcon-Precomputed-512,,refresh_token_generation_avg,0.29984999999999995,ms
isolated,Falcon-Precomputed-512,,refresh_token_generation_p95,0.4497499999999999,ms
isolated,Falcon-Precomputed-512,,total_generation_avg,0.5901599999999999,ms
isolated,Falcon-Precomputed-512,,cpu_utilization_avg,120.89491276586647,%
isolated,Falcon-Precomputed-512,,memory_alloc_avg,2.6980411529541017,MB
stress,Falcon-Precomputed-512,10,access_token_generation_avg,0.4176447204968943,ms
stress,Falcon-Precomputed-512,10,access_token_generation_p95,0.7423999999999998,ms
stress,Falcon-Precomputed-512,10,end_to_end_response_avg,24.121764581366435,ms
stress,Falcon-Precomputed-512,10,login_avg,190.98431735155262,ms
stress,Falcon-Precomputed-512,10,refresh_avg,100.12550838881995,ms
stress,Falcon-Precomputed-512,10,throughput_ok,26.83,requests/s
stress,Falcon-Precomputed-512,30,access_token_generation_avg,0.41504029850746305,ms
stress,Falcon-Precomputed-512,30,access_token_generation_p95,0.6541999999999999,ms
stress,Falcon-Precomputed-512,30,end_to_end_response_avg,22.295754952238784,ms
stress,Falcon-Precomputed-512,30,login_avg,683.4641544104473,ms
stress,Falcon-Precomputed-512,30,refresh_avg,587.1447770686564,ms
stress,Falcon-Precomputed-512,30,throughput_ok,22.33,requests/s
stress,Falcon-Precomputed-512,50,access_token_generation_avg,0.4131357664233575,ms
stress,Falcon-Precomputed-512,50,access_token_generation_p95,0.7483999999999987,ms
stress,Falcon-Precomputed-512,50,end_to_end_response_avg,24.88132527007299,ms
stress,Falcon-Precomputed-512,50,login_avg,1115.6270337620444,ms
stress,Falcon-Precomputed-512,50,refresh_avg,1060.956002154744,ms
stress,Falcon-Precomputed-512,50,throughput_ok,22.83,requests/s
isolated,Falcon-512,,access_token_generation_avg,0.35062999999999994,ms
isolated,Falcon-512,,access_token_generation_p95,0.45464999999999994,ms
isolated,Falcon-512,,refresh_token_generation_avg,0.35552,ms
isolated,Falcon-512,,refresh_token_generation_p95,0.45525,ms
isolated,Falcon-512,,total_generation_avg,0.70615,ms
isolated,Falcon-512,,cpu_utilization_avg,104.48354661581074,%
isolated,Falcon-512,,memory_alloc_avg,2.7976485443115235,MB
stress,Falcon-512,10,access_token_generation_avg,0.5225339425587473,ms
stress,Falcon-512,10,access_token_generation_p95,0.956,ms
stress,Falcon-512,10,end_to_end_response_avg,25.321654973890325,ms
stress,Falcon-512,10,login_avg,204.2259819830292,ms
stress,Falcon-512,10,refresh_avg,109.1489128955614,ms
stress,Falcon-512,10,throughput_ok,25.53,requests/s
stress,Falcon-512,30,access_token_generation_avg,0.5038951807228916,ms
stress,Falcon-512,30,access_token_generation_p95,0.89855,ms
stress,Falcon-512,30,end_to_end_response_avg,38.76853676144576,ms
stress,Falcon-512,30,login_avg,640.4017099120484,ms
stress,Falcon-512,30,refresh_avg,367.52660848915644,ms
stress,Falcon-512,30,throughput_ok,27.67,requests/s
stress,Falcon-512,50,access_token_generation_avg,0.5112227342549925,ms
stress,Falcon-512,50,access_token_generation_p95,0.758,ms
stress,Falcon-512,50,end_to_end_response_avg,27.143238708141364,ms
stress,Falcon-512,50,login_avg,1207.6412934393231,ms
stress,Falcon-512,50,refresh_avg,1087.3226754055295,ms
stress,Falcon-512,50,throughput_ok,21.7,requests/s
isolated,ML-DSA-44,,access_token_generation_avg,0.09875,ms
isolated,ML-DSA-44,,access_token_generation_p95,0.2405499999999999,ms
isolated,ML-DSA-44,,refresh_token_generation_avg,0.11110000000000003,ms
isolated,ML-DSA-44,,refresh_token_generation_p95,0.24494999999999995,ms
isolated,ML-DSA-44,,total_generation_avg,0.20985000000000006,ms
isolated,ML-DSA-44,,cpu_utilization_avg,115.44666263359548,%
isolated,ML-DSA-44,,memory_alloc_avg,2.7210787963867187,MB
stress,ML-DSA-44,10,access_token_generation_avg,0.19432567049808416,ms
stress,ML-DSA-44,10,access_token_generation_p95,0.3940999999999998,ms
stress,ML-DSA-44,10,end_to_end_response_avg,29.244797794380602,ms
stress,ML-DSA-44,10,login_avg,186.33841930268187,ms
stress,ML-DSA-44,10,refresh_avg,110.8131868799489,ms
stress,ML-DSA-44,10,throughput_ok,26.1,requests/s
stress,ML-DSA-44,30,access_token_generation_avg,0.23010648148148127,ms
stress,ML-DSA-44,30,access_token_generation_p95,0.4862999999999995,ms
stress,ML-DSA-44,30,end_to_end_response_avg,27.158752771604938,ms
stress,ML-DSA-44,30,login_avg,693.4342517762345,ms
stress,ML-DSA-44,30,refresh_avg,644.8150912206789,ms
stress,ML-DSA-44,30,throughput_ok,21.6,requests/s
stress,ML-DSA-44,50,access_token_generation_avg,0.26553749999999987,ms
stress,ML-DSA-44,50,access_token_generation_p95,0.5200999999999999,ms
stress,ML-DSA-44,50,end_to_end_response_avg,31.56274056875,ms
stress,ML-DSA-44,50,login_avg,1178.0442432671873,ms
stress,ML-DSA-44,50,refresh_avg,1164.7127981640617,ms
stress,ML-DSA-44,50,throughput_ok,21.33,requests/s
isolated,SLH-DSA-SHA2-128f,,access_token_generation_avg,12.064870000000003,ms
isolated,SLH-DSA-SHA2-128f,,access_token_generation_p95,12.580749999999998,ms
isolated,SLH-DSA-SHA2-128f,,refresh_token_generation_avg,12.062579999999995,ms
isolated,SLH-DSA-SHA2-128f,,refresh_token_generation_p95,12.5685,ms
isolated,SLH-DSA-SHA2-128f,,total_generation_avg,24.127449999999996,ms
isolated,SLH-DSA-SHA2-128f,,cpu_utilization_avg,59.0813583622155,%
isolated,SLH-DSA-SHA2-128f,,memory_alloc_avg,2.835776062011719,MB
